commodity,unit,date,price
Black Pepper (whole),100 gm,2025-07-13,86.65
Coriander (whole),250 gm,2025-07-13,36.15
Cummin Seed (whole),100 gm,2025-07-13,40.84
Red Chillies (whole),100 gm,2025-07-13,27.47
Turmeric (powder),50 gm,2025-07-13,15.85
Banana,1 Kg,2025-07-13,48.06
Rice,1 Kg,2024-08-13,43.64
Wheat,1 Kg,2024-08-13,30.67
Atta (Wheat),1 Kg,2024-08-13,35.62
Gram Dal(Bharat Dal Adjusted),1 Kg,2024-08-13,84.36
Gram Dal,1 Kg,2024-08-13,88.66
Tur/Arhar Dal,1 Kg,2024-08-13,165.73
Urad Dal,1 Kg,2024-08-13,125.26
Moong Dal,1 Kg,2024-08-13,116.42
Masoor Dal,1 Kg,2024-08-13,90.22
Sugar,1 Kg,2024-08-13,44.74
Milk (₹/ltr),1 Ltr,2024-08-13,59.03
Groundnut Oil (Packed),1 Kg,2024-08-13,184.96
Mustard Oil (Packed),1 Kg,2024-08-13,139.77
Vanaspati (Packed),1 Kg,2024-08-13,123.36
Soya Oil (Packed),1 Kg,2024-08-13,119.81
Sunflower Oil (Packed),1 Kg,2024-08-13,120.46
Palm Oil (Packed),1 Kg,2024-08-13,99.15
Gur,1 Kg,2024-08-13,54.68
Tea Loose,1 Kg,2024-08-13,269.56
Salt Pack (Iodised),1 Kg,2024-08-13,22.08
Potato,1 Kg,2024-08-13,37.18
Onion,1 Kg,2024-08-13,43.74
Tomato,1 Kg,2024-08-13,50.11
Bajra (whole),1 Kg,2024-08-13,38.26
Jowar (whole),1 Kg,2024-08-13,47.88
Maida (wheat),1 Kg,2024-08-13,40.23
Ragi (whole),1 kg,2024-08-13,57.88
Suji (whole),1 Kg,2024-08-13,45.27
Besan,1 Kg,2024-08-13,99.58
Desi Ghee,1 Kg,2024-08-13,628.24
Butter (Pasteurised),100 gm,2024-08-13,62.01
Eggs ,1 Dozen,2024-08-13,75.58
Brinjal,1 Kg,2024-08-13,46.73
Black Pepper (whole),100 gm,2024-08-13,102.96
Coriander (whole),250 gm,2024-08-13,28.13
Cummin Seed (whole),100 gm,2024-08-13,63.4
Red Chillies (whole),100 gm,2024-08-13,39.86
Turmeric (powder),50 gm,2024-08-13,31.35
Banana,1 Kg,2024-08-13,50.58
